172.20.0.1 - - [03/Jul/2025:23:23:36 +0000] "GET /favicon.ico HTTP/1.1" 499 0 "http://localhost/api/metrics" "Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0" "-" rt=0.001 uct="0.000" uht="-" urt="0.000"
172.20.0.1 - - [03/Jul/2025:23:23:54 +0000] "GET /api//health/detailed HTTP/1.1" 200 217 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0" "-" rt=0.002 uct="0.000" uht="0.001" urt="0.001"
172.20.0.1 - - [03/Jul/2025:23:24:09 +0000] "GET /api//health/redoc HTTP/1.1" 404 22 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0" "-" rt=0.001 uct="0.001" uht="0.001" urt="0.001"
172.20.0.1 - - [03/Jul/2025:23:24:54 +0000] "GET /api/swagger HTTP/1.1" 404 22 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0" "-" rt=0.000 uct="0.000" uht="0.001" urt="0.001"
172.20.0.1 - - [03/Jul/2025:23:26:20 +0000] "GET /api/docs HTTP/1.1" 200 937 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0" "-" rt=0.001 uct="0.000" uht="0.001" urt="0.001"
172.20.0.1 - - [03/Jul/2025:23:26:20 +0000] "GET /openapi.json HTTP/1.1" 404 5100 "http://localhost/api/docs" "Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0" "-" rt=0.056 uct="0.000" uht="0.050" urt="0.057"
172.20.0.1 - - [03/Jul/2025:23:29:49 +0000] "GET /api/docs HTTP/1.1" 200 937 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0" "-" rt=0.001 uct="0.000" uht="0.001" urt="0.001"
172.20.0.1 - - [03/Jul/2025:23:29:49 +0000] "GET /openapi.json HTTP/1.1" 404 5098 "http://localhost/api/docs" "Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0" "-" rt=0.049 uct="0.000" uht="0.041" urt="0.049"
172.20.0.1 - - [03/Jul/2025:23:29:50 +0000] "GET /api/docs HTTP/1.1" 200 937 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0" "-" rt=0.001 uct="0.000" uht="0.000" urt="0.000"
172.20.0.1 - - [03/Jul/2025:23:29:50 +0000] "GET /openapi.json HTTP/1.1" 404 5101 "http://localhost/api/docs" "Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0" "-" rt=0.067 uct="0.000" uht="0.055" urt="0.068"
172.20.0.1 - - [03/Jul/2025:23:30:13 +0000] "GET /api/docs HTTP/1.1" 200 937 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:139.0) Gecko/20100101 Firefox/139.0" "-" rt=17.139 uct="0.000" uht="17.139" urt="17.139"
